,,,,Time,Valid Acc,Valid Acc,Div Rate
,,,,amax,amax,mean,amax
Stock Name,Model Name,Model Type,Task,,,,
NVAX,NVAX_BP_20211029_103611_Prices.pth,BP,Regression,2021-10-29 10:36:05,-3.985755164132218,-3.985755164132218,
NVAX,NVAX_BP_20211029_103801_Prices.pth,BP,Regression,2021-10-29 10:37:54,-3.985755164132218,-3.985755164132218,
NVAX,NVAX_BP_20211029_103838_Prices.pth,BP,Regression,2021-10-29 10:38:31,-3.988574418516876,-3.988574418516876,
NVAX,NVAX_BP_20211029_103928_Prices.pth,BP,Regression,2021-10-29 10:39:21,-3.9878114542290426,-3.9878114542290426,
NVAX,NVAX_BP_20211029_104004_Prices.pth,BP,Regression,2021-10-29 10:39:56,-3.986888663558922,-3.986888663558922,
NVAX,NVAX_BP_20211029_104056_Prices.pth,BP,Regression,2021-10-29 10:40:49,-3.985755164132218,-3.985755164132218,
NVAX,NVAX_BP_20211029_104155_Prices.pth,BP,Regression,2021-10-29 10:41:47,-3.985787949803788,-3.985787949803788,
NVAX,NVAX_BP_20211029_104235_Prices.pth,BP,Regression,2021-10-29 10:42:28,-3.985755164132218,-3.985755164132218,
NVAX,NVAX_BP_20211029_104300_Prices.pth,BP,Regression,2021-10-29 10:42:53,-3.985767785312581,-3.985767785312581,
NVAX,NVAX_BP_20211029_104328_Prices.pth,BP,Regression,2021-10-29 10:43:21,-3.9857738318810094,-3.9857738318810094,
NVAX,NVAX_BP_20211029_104356_Prices.pth,BP,Regression,2021-10-29 10:43:49,-3.985779270033296,-3.985779270033296,
NVAX,NVAX_BP_20211029_104437_Prices.pth,BP,Regression,2021-10-29 15:58:18,-6.834975094378514,-6.859913794463382,
NVAX,NVAX_BP_20211029_105023_Prices.pth,BP,Regression,2021-10-30 19:56:29,-4.604835854744923,-5.6774903410392135,
NVAX,NVAX_BP_20211029_105858_Prices.pth,BP,Regression,2021-10-29 10:58:49,-7.200630961290572,-7.200630961290572,
NVAX,NVAX_BP_20211029_182916_Prices.pth,BP,Regression,2021-10-29 18:29:12,,,
NVAX,NVAX_BP_20211029_183042_Prices.pth,BP,Regression,2021-10-29 18:30:38,,,
NVAX,NVAX_BP_20211029_183154_Prices.pth,BP,Regression,2021-10-29 18:31:50,,,
NVAX,NVAX_BP_20211029_183413_Prices.pth,BP,Regression,2021-10-29 18:34:08,,,
NVAX,NVAX_BP_20211029_190918_Prices.pth,BP,Regression,2021-10-29 19:09:14,,,
NVAX,NVAX_BP_20211029_212428_Prices.pth,BP,Regression,2021-10-29 21:24:23,,,
NVAX,NVAX_BP_20211029_213501_Prices.pth,BP,Regression,2021-10-29 21:34:57,,,
NVAX,NVAX_BP_20211029_224651_Prices.pth,BP,Regression,2021-10-29 22:46:47,,,
NVAX,NVAX_BP_20211029_232653_Prices.pth,BP,Regression,2021-10-29 23:26:48,,,
NVAX,NVAX_BP_20211029_235431_Prices.pth,BP,Regression,2021-10-29 23:54:27,,,
NVAX,NVAX_GRU_20211029_170327_Prices.pth,GRU,Regression,2021-10-29 17:13:16,-1.1145724969991309,-2.33724060674707,
