Time,Operation,Model Name,Task,Model Type,Epochs,Learning Rate,Save Model,Save Record,Train Loss,Valid Loss,Train Acc,Valid Acc
2021-10-17 14:49:27,create,AAPL_BP_20211017_144929_Prices.pth,Regression,BP,100,0.0001,True,True,3.786044838292292,451.9459907677057,0.9654278906400086,-0.34796695383339665
2021-10-17 14:59:27,load,AAPL_BP_20211017_144929_Prices.pth,Regression,BP,100,0.0001,True,True,0.04272821185933272,381.2783169539166,0.9905705318271135,-0.1853648725737581
2021-10-17 15:02:19,load,AAPL_BP_20211017_144929_Prices.pth,Regression,BP,100,1e-05,True,True,0.08580794152288591,1313.241186527234,0.9914713446429517,-0.08245883203392128
2021-10-17 15:09:40,create,AAPL_BP_20211017_150942_Prices.pth,Regression,BP,10,0.0001,True,True,36.012971170837055,1107.2045528350632,0.8813007237715798,-0.6018759806096463
2021-10-17 15:10:45,load,AAPL_BP_20211017_150942_Prices.pth,Regression,BP,50,1e-05,True,True,0.39294736215715886,1548.0126037191073,0.9814750761102458,-0.21537666901214117
2021-10-17 15:18:29,load,AAPL_BP_20211017_150942_Prices.pth,Regression,BP,50,4e-05,True,True,0.10695766832643175,1299.4983759845657,0.9904947274317507,-0.08523909179829857
2021-10-17 15:25:41,create,AAPL_BP_20211017_152542_Prices.pth,Regression,BP,20,1e-05,True,True,197.40135252327644,1939.7951845640255,0.14916979235312977,-3.451338751315614
2021-10-17 15:27:19,load,AAPL_BP_20211017_152542_Prices.pth,Regression,BP,50,1e-05,True,True,23.393375864240983,3078.386676712328,0.8516775921837229,-1.0697128746317364
2021-10-17 15:41:35,create,AAPL_BP_20211017_154136_Low.pth,Regression,BP,150,1e-06,True,True,111.65978918821997,2441.875859665162,0.8388334399236357,0.6542606626719929
2021-10-17 16:05:27,create,AAPL_BP_20211017_160528_Prices.pth,Regression,BP,50,0.0001,True,True,13.158254496078742,2038.483616090996,0.9780632192053292,-0.5915403941945823
2021-10-17 16:07:33,load,AAPL_BP_20211017_160528_Prices.pth,Regression,BP,50,1e-06,True,True,0.3580403695594442,2041.8953157194635,0.9883252105768393,-0.6409997207420123
2021-10-17 16:09:13,load,AAPL_BP_20211017_160528_Prices.pth,Regression,BP,50,1e-05,True,True,0.05652576849482923,464.20732451840956,0.9902585216524148,-0.5481206408002467
2021-10-17 16:10:28,load,AAPL_BP_20211017_160528_Prices.pth,Regression,BP,500,1e-05,True,True,0.03602312806359141,419.04635649166863,0.9922071638517534,-0.4624540781780796
2021-10-17 16:15:16,load,AAPL_BP_20211017_160528_Prices.pth,Regression,BP,50,0.0001,True,True,0.07580788796690296,435.5415750261094,0.992460267379699,-0.462688644846093
2021-10-17 16:17:42,create,AAPL_BP_20211017_161743_Prices.pth,Regression,BP,50,0.0001,True,True,34.29571361126428,682.488967627135,0.9604483087520179,-0.18664625677419994
2021-10-17 16:18:57,load,AAPL_BP_20211017_161743_Prices.pth,Regression,BP,50,1e-05,True,True,0.43645757682844066,807.1252704261445,0.9909701550531687,-0.011066343093993696
2021-10-17 16:21:47,load,AAPL_BP_20211017_161743_Prices.pth,Regression,BP,100,1.4e-05,True,True,0.2669106064248704,737.7337284366237,0.9930129981200274,0.029662025540644104
2021-10-17 16:24:41,load,AAPL_BP_20211017_161743_Prices.pth,Regression,BP,100,0.0001,True,True,0.5277660142467723,763.708516202862,0.9926283565932101,0.02287914722403956
2021-10-17 16:26:49,load,AAPL_BP_20211017_161743_Prices.pth,Regression,BP,100,1e-05,True,True,1.7176686957571325,12.945848736763,0.9908978332600124,0.9048661399999878
2021-10-17 16:28:59,load,AAPL_BP_20211017_161743_Prices.pth,Regression,BP,10,1e-05,False,True,0.896805496521058,15.75660032510269,0.9925968582361516,0.8972300853137478
2021-10-17 16:34:57,load,AAPL_BP_20211017_161743_Prices.pth,Regression,BP,1,1e-05,False,True,0.900163058988409,15.612641081702513,0.9925780399164683,0.8979085564048441
2021-10-17 16:35:10,load,AAPL_BP_20211017_161743_Prices.pth,Regression,BP,10,1e-05,False,True,0.896805496521058,15.75660032510269,0.9925968582361516,0.8972300853137478
