Time,Operation,Model Name,Task,Model Type,Epochs,Learning Rate,Save Model,Save Record,Train Loss,Valid Loss,Train Acc,Valid Acc
2021-10-29 00:32:37,create,BTBT_BP_20211029_003242_Prices.pth,Regression,BP,100,0.0001,False,False,0.1221141382992772,1.452691974256075,-0.5104531552002054,-1.920713976946744
2021-10-29 00:35:58,create,BTBT_BP_20211029_003603_Prices.pth,Regression,BP,100,0.001,False,True,0.08539796071063246,1.8117001606253058,0.028362850239576368,-2.4869677633588965
2021-10-29 00:36:23,create,BTBT_BP_20211029_003628_Prices.pth,Regression,BP,100,0.001,False,True,0.051527050388262864,0.9750699816531302,0.6755316859697635,-1.163496611949169
2021-10-29 00:36:55,create,BTBT_BP_20211029_003659_Prices.pth,Regression,BP,100,0.001,False,True,0.0404048895169412,0.7772134666047262,0.7925091673250066,-7.749796643268004
2021-10-29 00:37:22,create,BTBT_BP_20211029_003726_Prices.pth,Regression,BP,100,0.001,False,True,0.054133470197442385,0.8806269771905025,0.6939024672036841,-1.4642791111177187
2021-10-29 00:38:04,create,BTBT_BP_20211029_003809_Prices.pth,Regression,BP,100,0.001,False,True,0.30277138473419996,7.822309550840979,0.5849561459127491,-1.3417156098579819
2021-10-29 00:39:50,create,BTBT_BP_20211029_003954_Prices.pth,Regression,BP,1,0.001,False,True,1.5752294085179965,15.877983559261668,0.4576755841832371,-3.3622424747004658
2021-10-29 00:41:36,create,BTBT_BP_20211029_004140_Prices.pth,Regression,BP,1,0.001,False,True,1.6551121158114575,12.531300944904995,0.4335534040012287,-3.3193696665967636
2021-10-29 00:41:54,create,BTBT_BP_20211029_004159_Prices.pth,Regression,BP,1,0.001,False,True,1.6551121158114575,12.531300944904995,0.4335534040012287,-3.3193696665967636
2021-10-29 00:42:20,create,BTBT_BP_20211029_004225_Prices.pth,Regression,BP,1,0.001,False,True,1.6551121158114575,12.531300944904995,0.4335534040012287,-3.3193696665967636
2021-10-29 00:42:34,create,BTBT_BP_20211029_004238_Prices.pth,Regression,BP,1,0.001,False,True,1.5717923936952853,14.604724808313948,0.46931673351087067,-3.5176185738380257
2021-10-29 00:43:12,create,BTBT_BP_20211029_004316_Prices.pth,Regression,BP,1,0.001,False,True,1.5717923936952853,14.604724808313948,0.46931673351087067,-3.5176185738380257
2021-10-29 00:43:46,create,BTBT_BP_20211029_004350_Prices.pth,Regression,BP,1,0.001,False,True,1.5565543598261788,14.955257838386357,0.4669880394704614,-3.526098761670167
2021-10-29 00:44:09,create,BTBT_BP_20211029_004413_Prices.pth,Regression,BP,1,0.001,False,True,1.5619802142824704,15.541165362049252,0.46778109769693155,-3.473743601625924
2021-10-29 00:44:24,create,BTBT_BP_20211029_004429_Prices.pth,Regression,BP,1,0.001,False,True,1.5619216372530267,15.273966855016248,0.47230008097279824,-3.5109609176372656
2021-10-29 00:44:42,create,BTBT_BP_20211029_004447_Prices.pth,Regression,BP,1,0.001,False,True,1.5501501127074298,15.125658440752094,0.47267756627722424,-3.5380709252389924
