Time,Operation,Model Name,Task,Model Type,Epochs,Learning Rate,Save Model,Save Record,Train Loss,Valid Loss,Train Acc,Valid Acc
2021-10-21 15:07:47,create,FCEL_LSTM_20211021_150747_Prices.pth,Regression,LSTM,1,1e-05,True,True,62712.54341815838,556.2386336290713,6.986224535599495e-05,-3.9127229745837226
2021-10-21 15:13:35,load,FCEL_LSTM_20211021_150747_Prices.pth,Regression,LSTM,1,0.0002,True,True,31355.389503944174,277.21790912430697,0.00047266684689568087,-3.8104775815770244
2021-10-21 15:17:48,load,FCEL_LSTM_20211021_150747_Prices.pth,Regression,LSTM,10,0.0001,True,True,30441.52120295908,206.9009005068818,0.07905052752402222,-3.3526912255563603
2021-10-21 15:18:40,load,FCEL_LSTM_20211021_150747_Prices.pth,Regression,LSTM,100,0.0001,True,True,16028.847066055607,396.1054442757539,0.6052708209222961,-20.812800942292252
2021-10-21 15:26:43,load,FCEL_LSTM_20211021_150747_Prices.pth,Regression,LSTM,100,1e-05,True,True,6789.130121133266,85.2099524691053,0.8716608081132462,-9.483042061916295
2021-10-21 15:40:47,load,FCEL_LSTM_20211021_150747_Prices.pth,Regression,LSTM,100,1e-05,True,True,6029.318898867649,43.69488872449143,0.8795821036750832,-3.4193579691475717
2021-10-21 16:08:55,load,FCEL_LSTM_20211021_150747_Prices.pth,Regression,LSTM,100,1e-05,True,True,10119.70157844207,87.0434265031633,0.9083936727864069,-4.6785470748120455
2021-10-21 16:16:51,create,FCEL_LSTM_20211021_161651_Prices.pth,Regression,LSTM,100,1e-05,True,True,22820.885588497422,53847.4286347275,0.026617609948787875,-3.8077548606659435
2021-10-21 16:21:55,load,FCEL_LSTM_20211021_161651_Prices.pth,Regression,LSTM,100,0.001,True,True,3400.605467207178,14583.773173232012,0.8514097657574032,-64.75661194545812
2021-10-21 16:25:55,load,FCEL_LSTM_20211021_161651_Prices.pth,Regression,LSTM,100,0.0012,True,True,383.00233589179766,2356.889763555754,0.8914005579635935,-34.505496708400834
2021-10-21 16:32:57,load,FCEL_LSTM_20211021_161651_Prices.pth,Regression,LSTM,100,0.001,True,True,307.70189703534874,6003.659689525811,0.9410596112093877,-2.9232103910486438
2021-10-21 16:39:37,load,FCEL_LSTM_20211021_161651_Prices.pth,Regression,LSTM,1,0.0001,True,True,13754.932254858657,1187.6403802378277,0.4884143162920735,-7.272309439893196
2021-10-21 16:40:18,load,FCEL_LSTM_20211021_161651_Prices.pth,Regression,LSTM,100,0.0001,True,True,3161.4516584973544,685.4482876419814,0.8935764712868064,-4.483247155208698
2021-10-21 18:48:54,load,FCEL_LSTM_20211021_161651_Prices.pth,Regression,LSTM,100,0.0004,True,True,1103.494561624996,540.426002179566,0.9313017206079902,-5.131172663521981
