Time,Operation,Model Name,Task,Model Type,Epochs,Learning Rate,Save Model,Save Record,Train Loss,Valid Loss,Train Acc,Valid Acc
2021-10-20 15:31:55,load,^IXIC_LSTM_20211020_151249_Prices.pth,Regression,LSTM,10,0.001,True,True,125.50090033859799,970767.0401509816,0.9701072148135482,-0.06258080754323056
2021-10-20 16:17:38,load,^IXIC_LSTM_20211020_151249_Prices.pth,Regression,LSTM,10,0.001,True,True,125.50090033859799,970767.0401509816,0.9701072148135482,-0.06258080754323056
2021-10-20 16:26:10,load,^IXIC_LSTM_20211020_151249_Prices.pth,Regression,LSTM,10,0.001,True,True,131.0888079245227,999201.3675611338,0.9684883026984374,-0.13655048922136265
2021-10-20 16:33:44,load,^IXIC_LSTM_20211020_151249_Prices.pth,Regression,LSTM,10,0.001,True,True,108.64598299213431,728919.5323714481,0.972250105236274,0.1433931643197293
2021-10-20 16:35:57,load,^IXIC_LSTM_20211020_151249_Prices.pth,Regression,LSTM,10,0.001,True,True,111.2330958201292,822663.0199385214,0.9708147690222242,0.0689357245075824
2021-10-20 17:04:34,create,^IXIC_LSTM_20211020_170434_Prices.pth,Regression,LSTM,100,0.001,True,True,1684.2572470877872,447057.5864554862,0.7367515952205065,-0.22313883618606106
2021-10-20 17:13:10,load,^IXIC_LSTM_20211020_170434_Prices.pth,Regression,LSTM,100,0.0001,True,True,85.67753813949611,438013.56671780144,0.9621603822588694,0.12957182591843774
2021-10-30 01:21:49,create,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,100,0.0001,True,True,4560.994957297671,129828.33388048018,0.3328713443516911,-3.627284800264681
2021-10-30 01:27:51,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,100,0.0001,True,True,1209.9930570429647,93542.93960819386,0.7235625930713742,-2.787055349164597
2021-10-30 01:33:59,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,100,0.0001,True,True,1337.2697660484475,170826.89443962765,0.8114125574689122,-1.5120291274345963
2021-10-30 01:42:27,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,200,0.0001,True,True,173.01392656249024,61060.89932112385,0.8534004722947722,-0.6398003542449916
2021-10-30 01:52:41,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,200,0.0001,True,True,111.17446867090985,55099.014949556564,0.8849440838908162,-0.44395252169645333
2021-10-30 02:04:02,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,200,0.0001,True,True,82.08457674991365,51242.357038897826,0.8980732144562364,-0.3366112375686099
2021-10-30 02:21:56,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,10,4e-05,True,True,58.56254862591909,49790.71334741921,0.9144643695870454,-0.2868342488137401
2021-10-30 02:23:41,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,20,0.0001,True,True,152.9109148294709,192615.5055632828,0.9252432135854354,-0.19967117684266183
2021-10-30 02:25:22,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,10,0.0001,True,True,369.39950060667195,693601.610929309,0.9501615222256232,-0.152354828624984
2021-10-30 02:29:17,load,^IXIC_LSTM_20211030_012150_Prices.pth,Regression,LSTM,10,0.0001,True,True,929.7944510612804,1307880.8341110623,0.9585184169878707,-0.2523185997768003
