Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-02-04,2.1458330154418945,2.1666669845581055,1.8958330154418945,1.9244790077209473,16788600,0,0.0
1999-02-05,1.9296879768371582,1.9479169845581055,1.8229169845581055,1.8333330154418945,3053400,0,0.0
1999-02-08,1.8541669845581055,1.9270830154418945,1.7838540077209473,1.8125,1548000,0,0.0
1999-02-09,1.8229169845581055,1.8333330154418945,1.65625,1.6666669845581055,3501600,0,0.0
1999-02-10,1.7083330154418945,1.7083330154418945,1.6041669845581055,1.6770830154418945,1597200,0,0.0
1999-02-11,1.7083330154418945,1.8645830154418945,1.6770830154418945,1.8125,9979800,0,0.0
1999-02-12,1.8125,1.8229169845581055,1.7604169845581055,1.78125,707400,0,0.0
1999-02-16,1.7708330154418945,1.7708330154418945,1.6770830154418945,1.7083330154418945,3012600,0,0.0
1999-02-17,1.6770830154418945,1.7604169845581055,1.6666669845581055,1.7083330154418945,812400,0,0.0
1999-02-18,1.7083330154418945,1.71875,1.625,1.6666669845581055,1894800,0,0.0
1999-02-19,1.6875,1.6875,1.6354169845581055,1.6458330154418945,689400,0,0.0
1999-02-22,1.6666669845581055,1.7083330154418945,1.6458330154418945,1.7083330154418945,618000,0,0.0
1999-02-23,1.6979169845581055,1.7395830154418945,1.6458330154418945,1.6979169845581055,831600,0,0.0
1999-02-24,1.71875,1.71875,1.6666669845581055,1.6770830154418945,1954200,0,0.0
1999-02-25,1.6875,1.6875,1.5416669845581055,1.5625,1496400,0,0.0
1999-02-26,1.5416669845581055,1.5833330154418945,1.4583330154418945,1.4791669845581055,1128600,0,0.0
1999-03-01,1.5,1.5,1.3333330154418945,1.4166669845581055,2135400,0,0.0
1999-03-02,1.4270830154418945,1.4270830154418945,1.2578129768371582,1.2708330154418945,1562400,0,0.0
1999-03-03,1.2916669845581055,1.2916669845581055,1.140625,1.28125,6219000,0,0.0
1999-03-04,1.3229169845581055,1.34375,1.2708330154418945,1.3020830154418945,2270400,0,0.0
1999-03-05,1.3541669845581055,1.375,1.2916669845581055,1.3125,1644000,0,0.0
1999-03-08,1.3229169845581055,1.3229169845581055,1.2916669845581055,1.2994790077209473,1770600,0,0.0
1999-03-09,1.3020830154418945,1.3333330154418945,1.2916669845581055,1.3333330154418945,2763600,0,0.0
1999-03-10,1.375,1.53125,1.375,1.4479169845581055,6318000,0,0.0
1999-03-11,1.5,1.5,1.3854169845581055,1.3958330154418945,1645200,0,0.0
1999-03-12,1.3854169845581055,1.40625,1.3541669845581055,1.3645830154418945,1183200,0,0.0
1999-03-15,1.3958330154418945,1.3958330154418945,1.3645830154418945,1.3854169845581055,451800,0,0.0
1999-03-16,1.3958330154418945,1.4270830154418945,1.375,1.40625,1924800,0,0.0
1999-03-17,1.40625,1.4583330154418945,1.3854169845581055,1.3958330154418945,671400,0,0.0
1999-03-18,1.3958330154418945,1.4479169845581055,1.3958330154418945,1.4479169845581055,1360800,0,0.0
1999-03-19,1.4583330154418945,1.46875,1.375,1.4166669845581055,1739400,0,0.0
1999-03-22,1.4166669845581055,1.5729169845581055,1.40625,1.5416669845581055,4242000,0,0.0
1999-03-23,1.5625,1.5625,1.4791669845581055,1.4895830154418945,1895400,0,0.0
1999-03-24,1.5,1.5104169845581055,1.4583330154418945,1.4895830154418945,1912200,0,0.0
