Time,Operation,Model Name,Task,Model Type,Epochs,Learning Rate,Save Model,Save Record,Train Loss,Valid Loss,Train Acc,Valid Acc
2021-10-22 14:05:52,create,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,300,0.0001,True,True,0.02840296465995429,0.05426515858736316,0.8814573832858196,0.3874494361435925
2021-10-22 14:10:07,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,50,1e-05,True,True,0.005581457548105391,0.0373782725475199,0.9520635384054938,0.4109314863793962
2021-10-22 14:11:29,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,25,1e-05,True,True,0.008130267694989727,0.06344870597291905,0.9601014418946099,0.4804835831772935
2021-10-22 14:26:01,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,1,1e-05,True,True,0.00913800831587267,0.06468701671512501,0.9524321044714368,0.3910376012951762
2021-10-22 14:26:56,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,30,1e-05,True,True,0.008779428634360681,0.05774291998749278,0.9604641331476632,0.254378948463657
2021-10-22 14:28:51,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,2,0.0001,True,True,0.026428688936983274,0.05246311543058555,0.9240337082464181,0.375719066660355
2021-10-22 14:30:04,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,20,1e-05,True,True,0.002559223372228009,0.01263166766659152,0.9418678367637104,0.37675584963964925
2021-10-22 14:30:54,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,200,0.0001,True,True,0.004996943906258839,0.01014113790154681,0.9201790473270434,0.3999833512887722
2021-10-22 14:32:37,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,200,6e-05,True,True,0.0021579666411778186,0.005595580523564545,0.9471731220282823,0.6147137655281439
2021-10-22 14:34:54,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,50,6e-05,True,True,0.002346684004088417,0.004230231360128637,0.9495346121444689,0.6115191018427901
2021-10-22 14:35:33,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,5,6e-05,True,True,0.0024186490128016666,0.004634921601273983,0.9479099205181092,0.5566467287202762
2021-10-22 14:36:06,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,100,4e-05,True,True,0.001373773870917821,0.003530282463094963,0.9599034918723345,0.655389936512632
2021-10-22 23:23:56,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,100,4e-05,True,True,0.0012530317190244029,0.004258532499382272,0.960009002919119,0.5924162993788719
2021-10-30 16:47:30,create,FNMAT_BP_20211030_164734_Prices.pth,Regression,BP,160,0.0001,False,True,0.009478867781331168,nan,0.7128555741990816,nan
2021-10-30 20:13:40,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,180,0.00025675945453113366,False,True,0.002161178356092685,nan,0.85832474080663,nan
2021-10-30 20:15:44,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,240,0.00024926372863986405,False,True,0.0004273222067312463,nan,0.9263387506103816,nan
2021-10-30 20:19:02,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,178,7.598834368807993e-05,False,True,0.0014419663886977904,nan,0.948919488988004,nan
2021-10-30 20:54:42,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,91,0.00016275911283445557,False,True,0.00021617284500433323,nan,0.9490491797601982,nan
2021-10-30 21:01:32,load,FNMAT_BP_20211022_140554_Prices.pth,Regression,BP,206,0.00010532486836302223,False,True,0.0025167453641986464,nan,0.9439717822725711,nan
