Date,Open,High,Low,Close,Adj Close,Volume
2018-03-20,5.200000,5.600000,4.600000,4.620000,4.620000,304300
2018-03-21,4.890000,4.900000,4.610000,4.742000,4.742000,23200
2018-03-22,4.671000,4.750000,4.600000,4.600000,4.600000,54100
2018-03-23,4.600000,4.750000,4.600000,4.655000,4.655000,8400
2018-03-26,4.680000,4.680000,4.500000,4.500000,4.500000,42100
2018-03-27,4.690000,4.700000,4.500000,4.500000,4.500000,9200
2018-03-28,4.500000,4.514000,4.500000,4.500000,4.500000,27800
2018-03-29,4.690000,4.690000,4.500000,4.500000,4.500000,15900
2018-04-02,4.592000,4.592000,4.400000,4.400000,4.400000,43400
2018-04-03,4.410000,4.849000,4.410000,4.849000,4.849000,35100
2018-04-04,4.830000,4.830000,4.494000,4.680000,4.680000,19700
2018-04-05,4.790000,4.800000,4.590000,4.716000,4.716000,36600
2018-04-06,4.684000,5.220000,4.658000,4.750000,4.750000,64700
2018-04-09,4.900000,4.900000,4.730000,4.829000,4.829000,20800
2018-04-10,4.904000,5.000000,4.890000,4.890000,4.890000,26600
2018-04-11,4.889000,4.890000,4.854000,4.861000,4.861000,5900
2018-04-12,4.750000,4.950000,4.750000,4.950000,4.950000,3800
2018-04-13,5.000000,5.000000,4.800000,4.926000,4.926000,16000
2018-04-16,4.930000,5.000000,4.671000,4.671000,4.671000,3200
2018-04-17,4.760000,4.989000,4.760000,4.926000,4.926000,3600
2018-04-18,4.790000,5.000000,4.790000,4.950000,4.950000,51600
2018-04-19,4.900000,4.960000,4.860000,4.860000,4.860000,1200
2018-04-20,4.950000,4.950000,4.890000,4.890000,4.890000,2600
2018-04-23,4.980000,4.980000,4.900000,4.900000,4.900000,14900
2018-04-24,4.900000,4.980000,4.880000,4.950000,4.950000,4100
2018-04-25,4.811000,5.100000,4.800000,5.013000,5.013000,9200
2018-04-26,5.100000,8.500000,5.100000,5.430000,5.430000,442700
2018-04-27,5.420000,6.099000,5.420000,5.700000,5.700000,110000
2018-04-30,5.770000,6.290000,5.550000,5.810000,5.810000,84400
2018-05-01,5.770000,5.880000,5.130000,5.160000,5.160000,33200
2018-05-02,5.990000,5.990000,5.010000,5.590000,5.590000,52400
2018-05-03,5.215000,5.799000,5.215000,5.520000,5.520000,29800
2018-05-04,5.500000,5.700000,4.661000,5.000000,5.000000,56900
2018-05-07,5.300000,5.400000,5.107000,5.300000,5.300000,25900
2018-05-08,5.280000,5.410000,5.260000,5.400000,5.400000,13800
2018-05-09,5.390000,5.660000,5.350000,5.589000,5.589000,7700
2018-05-10,5.500000,5.990000,5.160000,5.160000,5.160000,23600
2018-05-11,5.689000,5.689000,5.341000,5.609000,5.609000,19700
2018-05-14,5.390000,5.610000,5.390000,5.550000,5.550000,8100
2018-05-15,5.540000,5.550000,5.360000,5.550000,5.550000,4200
2018-05-16,5.550000,5.826000,5.550000,5.826000,5.826000,17300
2018-05-17,5.521000,6.100000,5.521000,5.996000,5.996000,30900
2018-05-18,5.700000,6.350000,5.260000,6.200000,6.200000,39200
2018-05-21,6.240000,6.340000,6.031000,6.340000,6.340000,5100
2018-05-22,6.000000,6.250000,6.000000,6.200000,6.200000,5700
2018-05-23,6.230000,7.000000,6.000000,6.880000,6.880000,53400
2018-05-24,6.880000,6.880000,6.390000,6.570000,6.570000,45300
2018-05-25,6.570000,6.740000,6.101000,6.720000,6.720000,14300
2018-05-29,6.560000,6.750000,6.420000,6.730000,6.730000,4500
2018-05-30,6.530000,6.530000,6.101000,6.399000,6.399000,5300
2018-05-31,6.290000,6.519000,6.050000,6.510000,6.510000,9400
2018-06-01,6.230000,6.480000,5.971000,6.460000,6.460000,17100
2018-06-04,6.223000,6.360000,5.810000,6.150000,6.150000,26900
2018-06-05,6.020000,6.199000,6.010000,6.050000,6.050000,8300
2018-06-06,6.000000,6.581000,6.000000,6.310000,6.310000,25700
2018-06-07,6.659000,6.659000,6.260000,6.469000,6.469000,16400
2018-06-08,6.740000,6.740000,6.342000,6.590000,6.590000,1400
2018-06-11,6.500000,6.500000,6.160000,6.480000,6.480000,2500
2018-06-12,6.470000,6.700000,6.230000,6.700000,6.700000,10300
2018-06-13,6.750000,6.750000,6.061000,6.599000,6.599000,35700
2018-06-14,6.400000,6.590000,6.210000,6.550000,6.550000,19100
2018-06-15,6.620000,7.510000,6.620000,7.399000,7.399000,56500
2018-06-18,7.390000,7.950000,6.842000,7.220000,7.220000,55400
2018-06-19,6.950000,7.200000,6.800000,7.063000,7.063000,14600
2018-06-20,7.100000,7.100000,6.860000,6.985000,6.985000,2800
2018-06-21,6.900000,6.900000,5.731000,6.210000,6.210000,23200
2018-06-22,6.630000,6.880000,6.410000,6.450000,6.450000,7000
2018-06-25,6.400000,7.090000,6.120000,7.090000,7.090000,2200
2018-06-26,6.540000,7.069000,6.540000,6.785000,6.785000,1500
2018-06-27,6.510000,7.020000,6.210000,6.221000,6.221000,3300
2018-06-28,6.150000,6.150000,6.010000,6.010000,6.010000,400
2018-06-29,5.900000,5.990000,5.710000,5.750000,5.750000,6700
2018-07-02,5.855000,6.171000,5.700000,6.126000,6.126000,9500
2018-07-03,6.190000,6.190000,6.000000,6.056000,6.056000,12500
2018-07-05,6.250000,6.250000,5.950000,6.000000,6.000000,6900
2018-07-06,6.579000,6.579000,6.130000,6.490000,6.490000,15400
2018-07-09,6.550000,6.600000,6.360000,6.560000,6.560000,12700
2018-07-10,6.660000,6.800000,6.660000,6.710000,6.710000,6100
2018-07-11,6.701000,6.701000,6.700000,6.700000,6.700000,700
2018-07-12,6.900000,6.980000,6.825000,6.930000,6.930000,5500
2018-07-13,6.980000,7.440000,6.980000,7.230000,7.230000,7500
2018-07-16,7.640000,7.649000,7.200000,7.495000,7.495000,1800
2018-07-17,7.590000,7.650000,7.563000,7.590000,7.590000,2400
2018-07-18,7.590000,7.650000,7.250000,7.600000,7.600000,5100
2018-07-19,7.650000,8.200000,7.350000,7.821000,7.821000,16300
2018-07-20,8.500000,8.500000,7.080000,7.990000,7.990000,9200
2018-07-23,8.000000,8.750000,7.750000,8.049000,8.049000,16700
2018-07-24,8.000000,8.000000,7.144000,7.779000,7.779000,20100
2018-07-25,8.000000,9.000000,7.800000,8.000000,8.000000,2100
2018-07-26,8.506000,8.590000,7.880000,7.880000,7.880000,1500
2018-07-27,7.790000,8.200000,7.740000,8.173000,8.173000,16300
2018-07-30,8.130000,8.400000,7.650000,8.270000,8.270000,16400
2018-07-31,8.950000,9.460000,7.640000,9.000000,9.000000,15100
2018-08-01,8.040000,8.500000,8.040000,8.500000,8.500000,600
2018-08-02,8.010000,8.975000,7.548000,8.420000,8.420000,8300
2018-08-03,7.550000,8.383000,7.030000,8.340000,8.340000,3800
2018-08-06,8.170000,8.170000,7.420000,7.878000,7.878000,5500
2018-08-07,7.610000,7.762000,7.000000,7.378000,7.378000,2200
2018-08-08,8.000000,8.000000,7.000000,7.217000,7.217000,11100
2018-08-09,7.190000,7.600000,7.190000,7.460000,7.460000,13900
2018-08-10,7.400000,7.700000,7.153000,7.456000,7.456000,1500
2018-08-13,7.630000,7.630000,7.000000,7.050000,7.050000,8100
2018-08-14,7.460000,7.460000,6.440000,7.155000,7.155000,6700
2018-08-15,7.140000,7.140000,6.800000,7.000000,7.000000,1700
2018-08-16,6.800000,7.310000,6.598000,7.310000,7.310000,7700
2018-08-17,6.950000,7.310000,6.700000,6.850000,6.850000,31900
2018-08-20,7.000000,7.042000,6.850000,6.850000,6.850000,5500
2018-08-21,6.830000,7.110000,6.803000,7.080000,7.080000,15000
2018-08-22,7.100000,7.290000,6.700000,7.050000,7.050000,7600
2018-08-23,7.000000,7.030000,6.700000,7.000000,7.000000,2000
2018-08-24,7.230000,7.230000,6.510000,6.720000,6.720000,2800
2018-08-27,6.730000,6.840000,6.720000,6.780000,6.780000,4000
2018-08-28,6.690000,7.450000,6.600000,6.800000,6.800000,9800
2018-08-29,6.760000,7.000000,6.290000,6.680000,6.680000,6500
2018-08-30,6.051000,6.999000,6.051000,6.990000,6.990000,7800
2018-08-31,7.350000,7.700000,7.020000,7.700000,7.700000,5200
2018-09-04,8.000000,8.560000,7.510000,7.810000,7.810000,4300
2018-09-05,7.710000,8.035000,7.110000,7.640000,7.640000,6300
2018-09-06,7.839000,8.300000,7.450000,8.000000,8.000000,1700
2018-09-07,7.600000,8.000000,7.200000,7.600000,7.600000,5300
2018-09-10,7.600000,7.990000,7.500000,7.990000,7.990000,1800
2018-09-11,7.500000,7.690000,7.400000,7.570000,7.570000,12500
2018-09-12,8.300000,8.300000,7.570000,7.760000,7.760000,5200
2018-09-13,8.285000,8.300000,7.110000,7.686000,7.686000,12200
2018-09-14,7.750000,8.250000,7.550000,7.620000,7.620000,10300
2018-09-17,7.540000,8.300000,7.540000,8.210000,8.210000,5800
2018-09-18,7.120000,8.010000,7.120000,7.653000,7.653000,5400
2018-09-19,7.600000,7.600000,7.110000,7.560000,7.560000,900
2018-09-20,7.600000,7.600000,7.200000,7.597000,7.597000,4800
2018-09-21,7.870000,7.870000,7.870000,7.870000,7.870000,300
2018-09-24,7.500000,8.230000,7.210000,8.100000,8.100000,12700
2018-09-25,7.500000,8.000000,7.500000,7.750000,7.750000,10900
2018-09-26,8.200000,8.300000,7.500000,7.808000,7.808000,10500
2018-09-27,8.000000,8.000000,7.950000,7.950000,7.950000,300
2018-09-28,8.000000,8.290000,8.000000,8.000000,8.000000,600
2018-10-01,7.910000,9.000000,7.910000,8.480000,8.480000,2000
2018-10-02,8.720000,8.720000,7.290000,8.060000,8.060000,1000
2018-10-03,8.060000,8.336000,7.680000,7.680000,7.680000,7400
2018-10-04,7.500000,8.405000,7.500000,7.600000,7.600000,8000
2018-10-05,7.800000,8.750000,7.750000,8.750000,8.750000,300
2018-10-08,8.500000,8.500000,7.440000,7.530000,7.530000,5300
2018-10-09,7.400000,7.970000,7.260000,7.310000,7.310000,4100
2018-10-10,7.602000,7.602000,7.310000,7.350000,7.350000,2300
2018-10-11,7.280000,7.280000,6.500000,6.540000,6.540000,2900
2018-10-12,7.000000,7.000000,6.350000,6.970000,6.970000,400
2018-10-15,7.110000,7.550000,7.110000,7.550000,7.550000,2800
2018-10-16,7.125000,7.900000,7.125000,7.810000,7.810000,1200
2018-10-17,7.800000,8.250000,7.750000,8.000000,8.000000,2300
2018-10-18,8.030000,8.070000,6.700000,6.700000,6.700000,1400
2018-10-19,7.000000,7.700000,6.520000,6.520000,6.520000,1300
2018-10-22,6.610000,7.000000,6.610000,7.000000,7.000000,200
2018-10-23,7.790000,7.790000,6.800000,7.000000,7.000000,3000
2018-10-24,7.000000,7.000000,7.000000,7.000000,7.000000,0
2018-10-25,6.810000,7.000000,6.810000,7.000000,7.000000,1600
2018-10-26,7.046000,7.050000,6.400000,6.400000,6.400000,3600
2018-10-29,6.590000,7.220000,6.590000,7.220000,7.220000,200
2018-10-30,7.000000,7.000000,6.170000,6.330000,6.330000,2500
2018-10-31,6.330000,7.100000,6.330000,6.880000,6.880000,6000
2018-11-01,7.100000,7.100000,6.220000,6.670000,6.670000,3500
2018-11-02,6.330000,7.170000,6.330000,7.170000,7.170000,5200
2018-11-05,7.178000,7.178000,6.690000,6.710000,6.710000,3000
2018-11-06,6.720000,6.722000,6.310000,6.350000,6.350000,1800
2018-11-07,6.440000,6.440000,5.880000,5.890000,5.890000,6100
2018-11-08,5.877000,6.300000,5.860000,6.177000,6.177000,2400
2018-11-09,6.300000,6.590000,6.300000,6.556000,6.556000,3300
2018-11-12,6.557000,6.557000,6.425000,6.550000,6.550000,1200
2018-11-13,6.480000,6.540000,6.315000,6.315000,6.315000,1200
2018-11-14,6.560000,6.560000,6.480000,6.480000,6.480000,400
2018-11-15,6.440000,6.450000,6.440000,6.450000,6.450000,400
2018-11-16,6.400000,6.420000,6.330000,6.410000,6.410000,1800
2018-11-19,6.200000,6.410000,5.890000,6.410000,6.410000,800
2018-11-20,6.370000,6.370000,6.370000,6.370000,6.370000,100
2018-11-21,6.350000,6.350000,6.150000,6.150000,6.150000,600
2018-11-23,6.150000,6.150000,6.150000,6.150000,6.150000,0
2018-11-26,5.890000,6.100000,5.661000,6.100000,6.100000,1000
2018-11-27,6.100000,6.100000,6.100000,6.100000,6.100000,100
2018-11-28,5.990000,5.990000,5.990000,5.990000,5.990000,600
2018-11-29,5.990000,5.990000,5.990000,5.990000,5.990000,0
2018-11-30,5.990000,5.990000,5.990000,5.990000,5.990000,0
2018-12-03,5.714000,5.950000,5.714000,5.950000,5.950000,500
2018-12-04,5.950000,5.950000,5.950000,5.950000,5.950000,0
2018-12-06,5.550000,5.550000,5.550000,5.550000,5.550000,300
2018-12-07,5.550000,5.550000,5.550000,5.550000,5.550000,100
2018-12-10,4.950000,5.000000,4.460000,5.000000,5.000000,500
2018-12-11,4.950000,4.950000,4.000000,4.000000,4.000000,300
2018-12-12,4.990000,4.990000,4.110000,4.850000,4.850000,4200
2018-12-13,4.850000,4.850000,4.850000,4.850000,4.850000,100
2018-12-14,4.120000,4.120000,4.000000,4.080000,4.080000,2400
2018-12-17,4.000000,4.850000,3.990000,4.500000,4.500000,5800
2018-12-18,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-12-19,3.500000,4.499000,3.500000,4.499000,4.499000,12000
2018-12-20,4.250000,4.250000,3.350000,4.250000,4.250000,4800
2018-12-21,4.230000,4.450000,3.650000,3.790000,3.790000,9100
2018-12-24,3.790000,3.790000,3.790000,3.790000,3.790000,0
2018-12-26,4.490000,4.570000,4.430000,4.570000,4.570000,2700
2018-12-27,4.570000,5.500000,4.570000,5.460000,5.460000,7200
2018-12-28,5.400000,5.500000,4.320000,5.500000,5.500000,4700
2018-12-31,5.500000,6.500000,5.210000,6.500000,6.500000,3200
2019-01-02,6.170000,6.790000,6.170000,6.790000,6.790000,1900
2019-01-03,7.010000,7.010000,6.550000,7.000000,7.000000,2700
2019-01-04,7.010000,7.500000,6.400000,7.500000,7.500000,5900
2019-01-07,7.500000,8.000000,6.650000,8.000000,8.000000,6900
2019-01-08,8.000000,8.460000,7.932000,8.460000,8.460000,8900
2019-01-09,8.280000,8.750000,7.660000,8.500000,8.500000,3900
2019-01-10,8.490000,8.750000,7.960000,8.740000,8.740000,12600
2019-01-11,8.740000,8.950000,8.220000,8.880000,8.880000,11900
2019-01-14,9.000000,9.190000,9.000000,9.170000,9.170000,3100
2019-01-15,9.170000,9.210000,8.420000,8.820000,8.820000,17700
2019-01-16,9.210000,9.210000,7.790000,9.000000,9.000000,8300
2019-01-17,8.140000,8.780000,7.590000,7.640000,7.640000,8000
2019-01-18,8.490000,8.500000,7.300000,7.300000,7.300000,6400
2019-01-22,7.240000,8.000000,7.240000,7.998000,7.998000,2400
2019-01-23,8.400000,8.400000,7.660000,8.280000,8.280000,3900
2019-01-24,8.000000,8.400000,7.500000,7.820000,7.820000,6300
2019-01-25,8.221000,9.080000,8.071000,8.781000,8.781000,7100
2019-01-28,9.250000,9.250000,8.330000,8.900000,8.900000,900
2019-01-29,7.900000,8.740000,7.530000,8.740000,8.740000,900
2019-01-30,8.840000,8.900000,7.500000,8.770000,8.770000,9700
2019-01-31,8.770000,8.850000,7.840000,8.590000,8.590000,6100
2019-02-01,8.850000,8.850000,8.070000,8.850000,8.850000,5100
2019-02-04,8.980000,8.980000,8.850000,8.970000,8.970000,1500
2019-02-05,9.000000,9.100000,8.950000,9.100000,9.100000,1200
2019-02-06,8.101000,9.250000,8.100000,9.250000,9.250000,1600
2019-02-07,9.300000,9.300000,9.300000,9.300000,9.300000,400
2019-02-08,9.300000,9.300000,9.300000,9.300000,9.300000,0
2019-02-11,9.200000,9.290000,9.170000,9.290000,9.290000,900
2019-02-12,9.300000,9.500000,9.290000,9.490000,9.490000,2400
2019-02-13,9.480000,9.750000,9.480000,9.750000,9.750000,3000
2019-02-14,9.640000,11.170000,9.036000,10.920000,10.920000,26800
2019-02-15,10.400000,10.920000,9.920000,10.910000,10.910000,1700
2019-02-19,10.070000,11.500000,10.070000,11.500000,11.500000,8000
2019-02-20,11.520000,11.520000,10.400000,11.520000,11.520000,4500
2019-02-21,11.540000,11.540000,10.070000,11.510000,11.510000,1500
2019-02-22,11.280000,12.500000,11.140000,12.380000,12.380000,9400
2019-02-25,12.400000,13.450000,12.000000,13.224000,13.224000,6700
2019-02-26,13.050000,13.480000,12.000000,13.340000,13.340000,4800
2019-02-27,13.200000,13.556000,11.590000,12.200000,12.200000,9600
2019-02-28,12.450000,12.660000,10.550000,12.000000,12.000000,3500
2019-03-01,11.790000,11.790000,10.630000,10.790000,10.790000,3800
2019-03-04,11.790000,11.790000,10.280000,11.400000,11.400000,3800
2019-03-05,11.000000,11.789000,10.230000,11.579000,11.579000,2400
2019-03-06,11.680000,11.790000,11.570000,11.599000,11.599000,1300
2019-03-07,11.790000,11.790000,10.300000,11.790000,11.790000,6600
2019-03-08,11.800000,11.800000,10.718000,11.800000,11.800000,700
2019-03-11,10.640000,12.680000,10.310000,11.400000,11.400000,8500
2019-03-12,11.380000,12.680000,10.560000,10.560000,10.560000,3300
2019-03-13,11.020000,11.020000,9.660000,11.020000,11.020000,11300
2019-03-14,10.670000,12.220000,10.190000,11.450000,11.450000,12800
2019-03-15,11.500000,11.500000,9.800000,9.800000,9.800000,13300
2019-03-18,9.980000,11.500000,9.400000,10.290000,10.290000,13600
2019-03-19,10.290000,10.400000,9.480000,10.400000,10.400000,8500
2019-03-20,10.000000,10.400000,9.500000,9.750000,9.750000,12200
2019-03-21,10.350000,10.350000,9.500000,10.268000,10.268000,7600
2019-03-22,9.830000,10.400000,8.240000,9.290000,9.290000,6800
2019-03-25,9.200000,9.460000,8.950000,9.210000,9.210000,4000
2019-03-26,9.250000,9.250000,9.250000,9.250000,9.250000,100
2019-03-27,9.010000,9.260000,7.710000,8.190000,8.190000,7100
2019-03-28,8.760000,8.760000,7.550000,8.760000,8.760000,2000
2019-03-29,9.200000,9.200000,7.420000,7.420000,7.420000,3100
2019-04-01,7.980000,7.980000,6.574000,7.250000,7.250000,2000
2019-04-02,7.600000,7.600000,6.990000,7.080000,7.080000,2400
2019-04-03,7.320000,7.320000,5.900000,6.600000,6.600000,5400
2019-04-04,6.330000,6.600000,6.110000,6.520000,6.520000,7000
2019-04-05,6.580000,8.570000,6.040000,7.900000,7.900000,10900
2019-04-08,7.940000,9.020000,7.490000,9.020000,9.020000,17400
2019-04-09,7.400000,9.210000,7.400000,9.060000,9.060000,7000
2019-04-10,9.210000,9.210000,7.722000,9.020000,9.020000,7800
2019-04-11,8.990000,9.510000,8.360000,9.490000,9.490000,5700
2019-04-12,9.040000,9.510000,7.920000,8.600000,8.600000,2100
2019-04-15,8.620000,9.330000,8.000000,8.600000,8.600000,8200
2019-04-16,8.650000,9.150000,8.010000,8.300000,8.300000,6200
2019-04-17,8.130000,9.150000,7.530000,8.400000,8.400000,11500
2019-04-18,8.780000,9.288000,6.870000,9.130000,9.130000,15100
2019-04-22,8.120000,8.200000,7.300000,7.880000,7.880000,6500
2019-04-23,8.210000,8.210000,7.390000,8.210000,8.210000,1400
2019-04-24,7.740000,8.210000,7.160000,7.660000,7.660000,3000
2019-04-25,7.210000,7.900000,7.170000,7.900000,7.900000,1000
2019-04-26,7.360000,7.360000,5.300000,5.980000,5.980000,15900
2019-04-29,6.440000,6.440000,5.035000,6.300000,6.300000,8100
2019-04-30,6.400000,6.760000,6.030000,6.720000,6.720000,4400
2019-05-01,7.120000,7.520000,6.184000,7.130000,7.130000,5300
2019-05-02,6.240000,7.120000,6.220000,7.070000,7.070000,1000
2019-05-03,7.130000,7.130000,5.520000,6.300000,6.300000,7600
2019-05-06,5.816000,7.120000,5.816000,6.390000,6.390000,2100
2019-05-07,6.710000,6.710000,5.520000,6.040000,6.040000,7200
2019-05-08,6.350000,6.650000,6.090000,6.550000,6.550000,7000
2019-05-09,6.290000,6.560000,5.500000,5.600000,5.600000,24900
2019-05-10,5.600000,5.880000,5.010000,5.230000,5.230000,11300
2019-05-13,5.000000,5.180000,4.660000,4.990000,4.990000,1500
2019-05-14,4.660000,5.400000,4.450000,5.130000,5.130000,14200
2019-05-15,5.040000,5.040000,4.410000,4.590000,4.590000,17700
2019-05-16,4.500000,4.500000,3.700000,3.730000,3.730000,56000
2019-05-17,4.040000,4.960000,4.040000,4.700000,4.700000,37300
2019-05-20,4.600000,4.600000,4.050000,4.370000,4.370000,30100
2019-05-21,4.180000,4.390000,3.600000,4.000000,4.000000,41200
2019-05-22,3.890000,4.171000,3.540000,3.540000,3.540000,71700
2019-05-23,3.600000,4.000000,3.600000,3.840000,3.840000,89300
2019-05-24,3.792000,4.230000,3.510000,3.520000,3.520000,72300
2019-05-28,3.700000,3.701000,3.360000,3.700000,3.700000,65500
2019-05-29,3.750000,3.800000,3.280000,3.600000,3.600000,89000
2019-05-30,3.600000,3.730000,3.300000,3.570000,3.570000,79600
2019-05-31,3.320000,3.570000,3.300000,3.530000,3.530000,106300
2019-06-03,3.530000,3.600000,3.100000,3.300000,3.300000,96300
2019-06-04,3.300000,3.380000,3.100000,3.300000,3.300000,105100
2019-06-05,3.320000,3.400000,3.110000,3.400000,3.400000,102600
2019-06-06,3.390000,3.460000,3.200000,3.410000,3.410000,175700
2019-06-07,3.400000,3.810000,3.400000,3.700000,3.700000,215300
2019-06-10,3.770000,4.010000,3.500000,4.010000,4.010000,233400
2019-06-11,4.000000,4.190000,3.570000,3.900000,3.900000,241800
2019-06-12,3.980000,4.080000,3.588000,3.930000,3.930000,254300
2019-06-13,3.920000,4.010000,3.650000,3.980000,3.980000,289000
2019-06-14,3.860000,4.050000,3.680000,3.890000,3.890000,316800
2019-06-17,3.870000,3.900000,3.680000,3.750000,3.750000,312100
2019-06-18,3.790000,3.920000,3.520000,3.870000,3.870000,321900
2019-06-19,3.700000,3.900000,3.610000,3.700000,3.700000,312800
2019-06-20,3.740000,4.150000,3.650000,4.080000,4.080000,302300
2019-06-21,4.100000,4.447000,3.655000,3.840000,3.840000,365200
2019-06-24,3.800000,3.900000,3.530000,3.690000,3.690000,319600
2019-06-25,3.680000,3.740000,3.220000,3.220000,3.220000,286000
2019-06-26,3.300000,3.570000,3.040000,3.290000,3.290000,233700
2019-06-27,3.300000,3.400000,3.050000,3.250000,3.250000,230200
2019-06-28,3.470000,3.490000,3.200000,3.460000,3.460000,302800
2019-07-01,3.420000,3.800000,3.035000,3.260000,3.260000,286700
2019-07-02,3.220000,3.460000,3.120000,3.220000,3.220000,325200
2019-07-03,3.180000,3.390000,3.050000,3.230000,3.230000,276600
2019-07-05,3.210000,3.420000,3.010000,3.230000,3.230000,357300
2019-07-08,3.190000,3.380000,3.060000,3.130000,3.130000,338900
2019-07-09,3.100000,3.340000,3.100000,3.190000,3.190000,200100
2019-07-10,3.170000,3.260000,2.900000,3.150000,3.150000,254100
2019-07-11,3.150000,3.220000,3.000000,3.080000,3.080000,191300
2019-07-12,3.060000,3.170000,2.940000,3.080000,3.080000,242000
2019-07-15,3.040000,3.110000,2.810000,2.850000,2.850000,145600
2019-07-16,2.830000,2.860000,2.560000,2.570000,2.570000,142900
2019-07-17,2.550000,2.790000,2.520000,2.780000,2.780000,150600
2019-07-18,2.780000,2.990000,2.480000,2.580000,2.580000,236200
2019-07-19,2.650000,2.720000,2.500000,2.690000,2.690000,246800
2019-07-22,2.900000,2.900000,1.950000,2.220000,2.220000,234700
2019-07-23,2.200000,2.320000,2.050000,2.110000,2.110000,149900
2019-07-24,2.070000,2.300000,1.740000,1.755000,1.755000,175800
2019-07-25,1.760000,1.760000,1.530000,1.560000,1.560000,29000
2019-07-26,1.500000,1.550000,1.410000,1.410000,1.410000,31400
2019-07-29,1.390000,1.480000,1.050000,1.130000,1.130000,128800
2019-07-30,1.110000,1.290000,1.100000,1.250000,1.250000,133900
2019-07-31,1.220000,1.380000,1.020000,1.280000,1.280000,320100
2019-08-01,1.450000,1.450000,1.040000,1.100000,1.100000,213600
2019-08-02,1.096000,1.110000,0.980000,1.100000,1.100000,85700
2019-08-05,1.030000,1.030000,0.776000,0.790000,0.790000,179300
